"Run.ID","Future.ID","time","S","Delta.Temp","CO2.Concentration","alfa","epsilon","size.factor","Eta.re","Eta.ce","Gamma.re","Gamma.ce","Nu.re","Nu.ce","k.re","k.ce","lambda.S","sigma.utility","Climate.Model","Beta.Delta.Temp","CO2.base","CO2.Disaster","Delta.Temp.Disaster","qsi","Delta.S","S.0","policy.name","Cost.S.Damage","policy.status","Policy.Duration","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","rho","Region","Ace","Agg.demand.ce.tech","Agg.demand.re.tech","Are","Consumption","Gamma.ce.t","Gamma.re.t","L","Labor.ce","labor.growth","Labor.re","Price.ce","Price.re","Profits.ce","Profits.re","RelLabor","RelPrice","sce","sre","Utility.Consumer","Y","Yce","Yce.0","Yre","Yre.0","policy.class"
1,1,2048,962.430229508294,2.26342547447072,464.393770491706,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"FWA",0.986419465738806,1,100,3.3,0,0,0,0,0,0,0,0,-3.75356458507487,0.001,"N",267.670958187204,247.496038643945,89.5570542423506,125.356594369292,300.348011070978,0.25,0.25,1,0.73429392540076,0,0.26570607459924,1.16698435097891,1.9399889592034,1.09442748288352,0.396021293859674,0.361852475429678,1.66239500776172,0.667834309082837,0.332165690917163,0.972030081392779,337.053092886295,212.081711666772,193.2,46.1636927455115,45.55074,"P0"
1,1,2048,962.430229508294,2.26342547447072,464.393770491706,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"FWA",0.986419465738806,1,100,3.3,0,0,0,0,0,0,0,0,-3.75356458507487,0.001,"S",91.4019666542655,348.837554111591,70.9145496371029,27.8369275316831,93.5102749126152,0.25,0.25,4,3.32422447436204,0,0.675775525637957,1.09694492782706,2.4329252524141,1.54255966428145,0.313584138495269,0.20328817468551,2.21791011626581,0.773639217023619,0.226360782976381,0.964748392654678,419.752103748693,318.008265740928,257.54634,29.1478538301729,27.82166,"P0"
1,1,2053,942.958367140968,2.45504624364945,483.865632859032,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"FWA",0.983545333148749,1,100,3.3,0,0,0,0,0,0,0,0,-3.95522963222435,0.001,"N",272.190130770021,251.866773013219,90.1082774572375,126.396027955594,304.733967474224,0.25,0.25,1,0.736506282159254,0,0.263493717840746,1.165230307923,1.9481162426305,1.11375487026446,0.398458802915904,0.357761670502318,1.67187227227464,0.671570339227961,0.328429660772039,0.96722218813004,341.975050470457,216.1519240451,193.2,46.2540558337352,45.55074,"P0"
1,1,2053,942.958367140968,2.45504624364945,483.865632859032,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"FWA",0.983545333148749,1,100,3.3,0,0,0,0,0,0,0,0,-3.95522963222435,0.001,"S",94.8426139208599,362.333076618238,71.9333203972256,28.378548336412,96.7436965951198,0.25,0.25,4,3.33742678787404,0,0.662573212125959,1.09477311066434,2.45704470846998,1.60223686480585,0.318089142796531,0.198528163833677,2.24434148458302,0.783154983295277,0.216845016704723,0.960261009628232,434.266397015463,330.966364709454,257.54634,29.2763579552523,27.82166,"P0"
1,1,2058,922.458223185324,2.64862681108976,504.365776814676,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"FWA",0.980244337622596,1,100,3.3,0,0,0,0,0,0,0,0,-4.16260798560714,0.001,"N",276.811762523572,256.341592088032,90.6494443539423,127.432036012663,309.203712573444,0.25,0.25,1,0.738755659848,0,0.261244340152,1.16345499749664,1.95648514541925,1.13354252021328,0.400851842933133,0.353627531199898,1.68161652116235,0.675395445250071,0.324604554749929,0.962436431806864,346.991036441975,220.32789634287,193.2,46.3328048087569,45.55074,"P0"
1,1,2058,922.458223185324,2.64862681108976,504.365776814676,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"FWA",0.980244337622596,1,100,3.3,0,0,0,0,0,0,0,0,-4.16260798560714,0.001,"S",98.3468613203813,376.09961490991,72.8785509902143,28.8996427869109,100.0211109084,0.25,0.25,4,3.35071630181298,0,0.649283698187018,1.09259992501693,2.48206268877519,1.66311249713162,0.322268952478728,0.193774596147011,2.27170314764273,0.792628627823845,0.207371372176155,0.955773549645869,448.978165900124,344.224456087237,257.54634,29.3620911831914,27.82166,"P0"
1,1,2063,900.900785628884,2.84388203463287,525.923214371117,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"FWA",0.976465582050307,1,100,3.3,0,0,0,0,0,0,0,0,-4.37582695455398,0.001,"N",281.539106204496,260.923877926063,91.1799894728964,128.464105460128,313.759756239213,0.25,0.25,1,0.741042351660447,0,0.258957648339553,1.16165852892576,1.96510440316007,1.15380538818905,0.403197913449148,0.349450537825954,1.69163687454462,0.679311050470005,0.320688949529995,0.957672594184247,352.103867398959,224.613233087827,193.2,46.3995649932241,45.55074,"P0"
1,1,2063,900.900785628884,2.84388203463287,525.923214371117,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"FWA",0.976465582050307,1,100,3.3,0,0,0,0,0,0,0,0,-4.37582695455398,0.001,"S",101.915787370121,390.14144077498,73.750956704244,29.4001876299225,103.343628848434,0.25,0.25,4,3.36406841668452,0,0.635931583315477,1.09042948400713,2.50798421270424,1.72520545110696,0.326126730546167,0.189036459592051,2.29999669807887,0.802037654724664,0.197962345275336,0.951287342244357,463.892397479224,357.786951377436,257.54634,29.4064676845481,27.82166,"P0"
1,1,2068,878.256405880984,3.04054529091079,548.567594119016,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"FWA",0.972149717945515,1,100,3.3,0,0,0,0,0,0,0,0,-4.59501383023145,0.001,"N",286.375542585344,265.617144357324,91.6993362974751,129.491708707203,318.404715911491,0.25,0.25,1,0.743366619615664,0,0.256633380384336,1.1598410411342,1.97398308881866,1.17455901234808,0.405494465107435,0.345231240699267,1.70194278251123,0.683318501788211,0.316681498211789,0.952930433157735,357.316480654799,229.011679132839,193.2,46.4539624563618,45.55074,"P0"
1,1,2068,878.256405880984,3.04054529091079,548.567594119016,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"MPI-ESM-MR",4.66520988,285.8769861,1426.824055,6,0.010072626,0.001606302,1045.336614,"FWA",0.972149717945515,1,100,3.3,0,0,0,0,0,0,0,0,-4.59501383023145,0.001,"S",105.550437949718,404.462654412506,74.5514218370469,29.8802033876036,106.712360836494,0.25,0.25,4,3.37745944820037,0,0.622540551799632,1.08826565670747,2.53481444015952,1.7885338578121,0.329666387363422,0.184322139568943,2.32922395789697,0.811359396226717,0.188640603773283,0.946803483473272,479.014076249553,371.658015595384,257.54634,29.4109977661146,27.82166,"P0"
